Subgroup,Category,AUROC,AUPR,Label
sex,male,0.79,0.76,amy_label
sex,female,0.79,0.8,amy_label
age,age_above_median,0.76,0.78,amy_label
age,age_below_median,0.8,0.78,amy_label
race,whi,0.79,0.79,amy_label
race,oth,0.79,0.74,amy_label
educ,educ_above_median,0.78,0.75,amy_label
educ,educ_below_median,0.8,0.84,amy_label
sex,male,0.79,0.48,tau_label
sex,female,0.87,0.72,tau_label
age,age_above_median,0.78,0.56,tau_label
age,age_below_median,0.88,0.67,tau_label
race,whi,0.83,0.61,tau_label
race,oth,0.91,0.58,tau_label
educ,educ_above_median,0.8,0.49,tau_label
educ,educ_below_median,0.91,0.79,tau_label
